iteration,query,time
1,1,751.341
1,2,0.800
1,3,1.196
1,4,0.291
1,5,1.330
1,6,0.695
1,7,2.137
1,8,2.771
1,9,9.708
1,10,5.418
1,11,0.436
1,12,0.812
1,13,202.832
1,14,0.866
1,15,2.011
1,18,22.488
1,19,1340.166
1,20,0.649
1,21,0.878
1,22,1988.723
1,23,5.113
1,24,340.405
2,1,774.360
2,2,0.807
2,3,1.190
2,4,0.293
2,5,1.348
2,6,0.699
2,7,2.169
2,8,2.829
2,9,9.905
2,10,5.563
2,11,0.435
2,12,0.808
2,13,208.937
2,14,0.868
2,15,2.020
2,18,21.613
2,19,1363.279
2,20,0.651
2,21,0.882
2,22,2007.703
2,23,5.129
2,24,345.507
3,1,750.750
3,2,0.807
3,3,1.195
3,4,0.290
3,5,1.333
3,6,0.696
3,7,2.122
3,8,2.771
3,9,9.732
3,10,5.446
3,11,0.435
3,12,0.810
3,13,201.675
3,14,0.868
3,15,2.014
3,18,21.687
3,19,1336.240
3,20,0.648
3,21,0.875
3,22,1980.565
3,23,5.112
3,24,340.312
4,1,758.459
4,2,0.810
4,3,1.165
4,4,0.290
4,5,1.340
4,6,0.696
4,7,2.149
4,8,2.791
4,9,9.768
4,10,5.451
4,11,0.437
4,12,0.810
4,13,202.860
4,14,0.859
4,15,2.019
4,18,21.916
4,19,1342.259
4,20,0.642
4,21,0.873
4,22,1972.162
4,23,5.115
4,24,341.326
5,1,751.403
5,2,0.804
5,3,1.162
5,4,0.289
5,5,1.328
5,6,0.693
5,7,2.138
5,8,2.769
5,9,9.695
5,10,5.410
5,11,0.437
5,12,0.809
5,13,201.146
5,14,0.858
5,15,2.013
5,18,21.806
5,19,1339.096
5,20,0.643
5,21,0.874
5,22,1968.983
5,23,5.112
5,24,340.458
6,1,767.954
6,2,0.767
6,3,1.186
6,4,0.289
6,5,1.341
6,6,0.695
6,7,2.144
6,8,2.790
6,9,9.723
6,10,5.442
6,11,0.439
6,12,0.808
6,13,207.200
6,14,0.860
6,15,2.018
6,18,21.710
6,19,1322.212
6,20,0.649
6,21,0.888
6,22,1961.570
6,23,5.124
6,24,343.208
7,1,765.772
7,2,0.819
7,3,1.173
7,4,0.294
7,5,1.351
7,6,0.701
7,7,2.177
7,8,2.838
7,9,9.954
7,10,5.570
7,11,0.438
7,12,0.819
7,13,203.672
7,14,0.865
7,15,2.029
7,18,21.597
7,19,1354.013
7,20,0.646
7,21,0.879
7,22,1992.564
7,23,5.151
7,24,344.142
8,1,757.723
8,2,0.771
8,3,1.179
